word,example
Acanthopteri,Acanthopteri are a group of ray-finned fishes.
Acanthopterous,Acanthopterous beetles have spines on their wings.
Acanthopterygian,A fish is an acanthopterygian.
Acanthopterygii,Acanthopterygii is a subclass of bony fish.
Acanthopterygious,Acanthopterygious fish have sharp spines in their fins.
Acanthus,Acanthus leaves are used as a decorative element in architecture.
Acanthuses,Acanthuses decorate the columns of the temple.
Acapsular,Bacteria that lack a capsule are called acapsular.
Acardiac,The acardiac twin was smaller than the normal twin.
Acari,Acari are a group of mites that are parasitic on other animals.
Acaridan,Mites are a type of Acaridan.
Acarina,Acarina are a group of arthropods that includes mites and ticks.
Acarine,Mites are an example of acarine.
Acaroid,Acaroid mites are tiny arthropods that feed on plants.
Acarpellous,"The acarpellous flower contains sepals and petals, but no carpels."
Acarpous,Acarpous plants do not produce fruit.
Acarus,An Acarus is a type of mite.
Acatalectic,The acatalectic sonnet has fourteen lines.
Acatalepsy,Acatalepsy is the inability to comprehend abstract concepts.
Acataleptic,The acataleptic patient could not move or speak.
Acater,The caterer was preparing food for the wedding.
Acates,Acates is a genus of crabs.
Acaudate,The acaudate beetle has no tail.
Acaulescent,acaulescent plants with small leaves
Acauline,The acauline plant was unable to grow tall because it had no stem.
Acaulose,Acaulose plants lack a stem.
Acaulous,The acaulous plant has no stem.
Accadian,The cuneiform script was used to write the Akkadian language.
Accede,The leaders acceded to the demands of the people.
Acceded,The country acceded to the European Union in 2004.
Accedence,Accedence is the process of moving from one position to another.
Acceder,Los usuarios pueden acceder a las cuentas de usuario.
Acceding,The president is acceding to the demands of the protestors.
Accelerando,"The pianist's hands moved swiftly across the keys, accelerando."
Accelerate,The car accelerates as it goes down the hill.
Accelerated,The accelerated train arrived on time.
Accelerating,The car was accelerating down the road.
Acceleration,A car accelerating away from a red light.
Accelerative,The accelerative effects of the new technology were immediately apparent.
Accelerator,the accelerator on the car was broken
Acceleratory,Acceleratory economic growth has been a feature of the recent period.
Accelerograph,An accelerometer is a sensor used to measure acceleration.
Accelerometer,An accelerometer is used to measure the acceleration of an object.
Accend,The helicopter accended slowly into the sky.
Accendibility,There is good accendibility to the top of the hill.
Accendible,The building's entrance was accendible to both the handicapped and the able-bodied.
Accension,The ascension of the new president was a historic event.
Accensor,An ascensor is a type of elevator.
Accent,The man spoke with an Irish accent.
Accented,The accented singer sang her favorite song.
Accenting,The woman accented the word on the first syllable.
Accentless,The accentless voice of the newsreader was soothing.
Accentor,A golden-crowned Accentor sings on a branch.
Accentuable,The accentuable syllables of a word are usually stressed.
Accentual,The accentual melody of the song was catchy.
Accentuality,The accentuality of the spoken word is important in conveying meaning.
Accentually,The accentually different words were difficult to understand.
Accentuate,The gold trim accentuates the beauty of the car.
Accentuated,She accentuated her lips with red lipstick.
Accentuating,The actress accentuated her eyes with a bright shade of blue eyeshadow.
Accentuation,"The accentuation of the word ""table"" is on the first syllable."
Accept,People accept that the world is a beautiful place.
Acceptability,The acceptability of the plan is being debated.
Acceptable,The new dress was acceptable to the fashion critic.
Acceptableness,The acceptability of the plan was questioned by several members of the committee.
Acceptably,The room was acceptably clean.
Acceptance,The acceptance of new ideas leads to innovation.
Acceptancy,The acceptancy of the new policy was higher than expected.
Acceptant,The people were very acceptant of the new ideas.
Acceptation,The acceptation of the new policy was met with mixed reactions.
Accepted,A piece of artwork was accepted into the gallery.
Acceptedly,"Acceptedly, the weather was a little chilly today."
Accepter,The customer accepted the refund.
Acceptilation,The acceptilation contract was void because it was not properly executed.
Accepting,The man was accepting of his new circumstances.
Acception,The exception to the rule is that they are open on Sundays.
Acceptive,The club has an open and accepting atmosphere.
Acceptor,The acceptor of the contract was a large corporation.
Access,The students had access to the Internet in the library.
Accessaries,The accessories are an important part of the outfit.
Accessarily,"Accessarily, the restaurant offers an evening buffet."
Accessariness,The accessoriness of the dress was the main reason for her purchase.
Accessary,A diamond necklace is an accessory.
Accessibility,New app for accessibility in the workplace.
Accessible,The accessible ramp was easy for wheelchair users to use.
Accessibly,The library is accessible to people of all ages.
Accession,The accession of the new member state to the European Union was celebrated with a grand ceremony.
Accessional,An accessional species is one that has been introduced to an area by humans.
Accessive,The accessional process was long and arduous.
Accessorial,The gold ring was an accessorial to her outfit.
Accessories,Sunglasses and other accessories are sold at the shop.
Accessorily,He was accessorilly charged with drug possession.
Accessoriness,The accessoriness of a crime is determined by the role of the accomplice.
Accessory,A woman with a red scarf as an accessory.
Acciaccatura,The acciaccatura is a musical ornament.
Accidence,The accident was caused by the driver's negligence.
Accident,There was an accident on the highway.
Accidental,The accidental meeting led to a lasting friendship.
Accidentalism,Accidentalism is the belief that all events are random and have no meaning.
Accidentality,The accidentality of the event made it all the more tragic.
Accidentally,He accidentally threw the ball into the neighbour's yard.
Accidentalness,The accidentalness of the collision is what makes it so funny.
Accidie,The accident caused the man to suffer from accidie.
Accipenser,An Accipenser is a type of fish.
Accipient,The recipient of the award was the accipient.
Accipiter,Accipiters are birds of prey that hunt small mammals.
Accipiters,Accipiters are a type of bird of prey.
Accipitral,The accipitral bird of prey was soaring high in the sky.
Accipitres,Accipitres are diurnal birds of prey.
Accipitrine,An accipitrine bird of prey soars high in the sky.
Accismus,The use of accismus in this sentence is deliberate.
Accite,The jury accites the innocent man.
Acclaim,The movie received critical acclaim.
Acclaimer,The acclaimer of the new movie was very excited about it.
Acclamation,The president's speech was met with thunderous acclamation.
Acclamatory,The crowd gave an acclamatory reception to the new leader.
Acclimatable,A plant that is acclimatable can adjust to a new environment.
Acclimatation,The acclimatization of the plants to the new climate took several months.
Acclimate,The new residents acclimatized to their new surroundings quickly.
Acclimated,Plants acclimated to the desert environment.
Acclimatement,The acclimation of the animals to their new environment was quick.
Acclimating,The climber is acclimating to the high altitude.
Acclimation,The acclimation of a plant to a new environment took several weeks.
Acclimatizable,The plant is acclimatizable to cold temperatures.
Acclimatization,The mountaineers were acclimatized to the high altitude.
Acclimatize,The hiker acclimatized to the high altitude.
Acclimatized,The acclimatized plants thrived in the new environment.
Acclimatizing,The tourists were acclimatizing to the higher altitude.
Acclimature,The bird underwent an acclimation period before being released into the wild.
Acclive,The incline of the ski slope was quite acclive.
Acclivities,The acclivities of the mountain made it difficult to climb.
Acclivitous,The acclivitous path led to the top of the hill.
Acclivity,The bike path had a steep acclivity and was challenging to ride.
Acclivous,The acclivous hill was a challenge for the hiker.
